data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,diagnostico,screening,delta_positivi
2020-10-01 17:00:00,4449,30,28,1992,2,909,0,0,0,21,9,5.477225575051661
2020-10-02 17:00:00,4498,49,29,2408,20,938,0,6,1,46,3,7.0
2020-10-03 17:00:00,4540,42,24,2102,18,962,0,8,0,29,13,6.48074069840786
2020-10-04 17:00:00,4577,37,33,2342,4,995,0,4,0,37,0,6.082762530298219
2020-10-05 17:00:00,4607,30,22,1244,7,1017,1,2,1,14,16,5.477225575051661
2020-10-06 17:00:00,4655,48,41,1548,5,1058,2,9,-1,39,9,6.928203230275509
2020-10-07 17:00:00,4715,61,40,2507,19,1098,1,7,0,38,22,7.810249675906654
2020-10-08 17:00:00,4783,68,54,2332,13,1152,1,2,1,59,9,8.246211251235321
2020-10-09 17:00:00,4886,103,97,2787,5,1249,1,10,0,70,33,10.14889156509222
2020-10-10 17:00:00,4980,94,92,2388,2,1341,0,10,0,63,31,9.695359714832659
2020-10-11 17:00:00,5057,77,76,2278,1,1417,0,6,1,51,26,8.774964387392123
2020-10-12 17:00:00,5174,117,115,2227,1,1532,1,21,3,91,26,10.816653826391969
2020-10-13 17:00:00,5320,146,147,2877,-1,1679,0,9,4,101,45,12.083045973594572
2020-10-14 17:00:00,5446,126,122,2529,3,1801,1,8,0,118,8,11.224972160321824
2020-10-15 17:00:00,5648,203,192,3222,8,1993,2,5,-5,133,69,14.247806848775006
2020-10-16 17:00:00,5825,178,157,3668,20,2150,0,8,1,140,37,13.341664064126334
2020-10-17 17:00:00,5973,148,144,3103,2,2294,2,2,2,122,26,12.165525060596439
2020-10-18 17:00:00,6194,221,219,3715,1,2513,1,1,0,225,-4,14.866068747318506
2020-10-19 17:00:00,6353,159,156,2176,3,2669,0,27,0,107,52,12.609520212918492
2020-10-20 17:00:00,6534,184,176,3115,4,2845,1,13,2,37,144,13.564659966250536
2020-10-21 17:00:00,6786,252,246,3123,1,3091,5,2,-1,78,174,15.874507866387544
2020-10-22 17:00:00,7091,306,285,3149,19,3376,1,-4,2,219,86,17.4928556845359
2020-10-23 17:00:00,7325,234,153,3299,79,3529,2,20,0,127,107,15.297058540778355
2020-10-24 17:00:00,7700,375,213,3862,162,3742,0,0,2,315,60,19.364916731037084
2020-10-25 17:00:00,8068,368,343,3368,14,4085,11,17,0,364,4,19.183326093250876
2020-10-26 17:00:00,8414,348,268,3204,68,4353,10,4,3,127,219,18.65475810617763
2020-10-27 17:00:00,8759,345,256,2844,81,4609,8,35,1,92,253,18.57417562100671
2020-10-28 17:00:00,9193,434,420,3780,12,5029,2,22,4,248,186,20.83266665599966
2020-10-29 17:00:00,9674,482,415,3910,60,5444,6,25,0,311,170,21.95449840010015
2020-10-30 17:00:00,10102,428,352,3303,74,5796,2,24,1,298,130,20.688160865577203
2020-10-31 17:00:00,10552,450,407,3887,35,6203,8,16,2,241,209,21.213203435596427
2020-11-01 17:00:00,11041,489,430,3276,55,6633,4,20,3,-947,1436,22.11334438749598
2020-11-02 17:00:00,11519,478,458,3537,18,7091,2,10,1,291,187,21.863211109075447
