data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,delta_positivi
2020-10-01 17:00:00,841,33,31,939,2,338,0,0,0,5.744562646538029
2020-10-02 17:00:00,857,16,7,933,8,345,1,0,0,4.0
2020-10-03 17:00:00,906,49,42,1039,4,387,3,4,0,7.0
2020-10-04 17:00:00,920,14,3,800,11,390,0,0,0,3.7416573867739413
2020-10-05 17:00:00,934,14,13,138,1,403,0,15,0,3.7416573867739413
2020-10-06 17:00:00,938,4,0,1024,4,403,0,0,0,2.0
2020-10-07 17:00:00,953,15,11,760,2,414,2,5,-2,3.872983346207417
2020-10-08 17:00:00,975,22,15,737,7,429,0,0,0,4.69041575982343
2020-10-09 17:00:00,997,22,19,926,3,448,0,0,0,4.69041575982343
2020-10-10 17:00:00,1034,37,27,861,10,475,0,1,0,6.082762530298219
2020-10-11 17:00:00,1047,13,10,957,3,485,0,0,0,3.605551275463989
2020-10-12 17:00:00,1058,11,10,130,1,495,0,0,0,3.3166247903554
2020-10-13 17:00:00,1066,8,2,1201,4,497,2,-2,0,2.8284271247461903
2020-10-14 17:00:00,1075,9,7,968,2,504,0,1,0,3.0
2020-10-15 17:00:00,1112,37,35,986,2,539,0,1,0,6.082762530298219
2020-10-16 17:00:00,1169,57,44,1116,12,583,1,0,0,7.54983443527075
2020-10-17 17:00:00,1226,57,55,1123,2,638,0,4,0,7.54983443527075
2020-10-18 17:00:00,1274,48,42,950,5,680,1,3,0,6.928203230275509
2020-10-19 17:00:00,1296,22,18,397,4,698,0,8,1,4.69041575982343
2020-10-20 17:00:00,1313,17,15,1115,2,713,0,0,0,4.123105625617661
2020-10-21 17:00:00,1398,85,62,1201,23,775,0,-3,3,9.219544457292887
2020-10-22 17:00:00,1481,83,53,1256,27,828,3,0,0,9.1104335791443
2020-10-23 17:00:00,1570,89,79,1434,10,907,0,6,0,9.433981132056603
2020-10-24 17:00:00,1619,50,38,1214,9,945,2,-1,1,7.0710678118654755
2020-10-25 17:00:00,1696,77,68,1181,9,1013,0,0,0,8.774964387392123
2020-10-26 17:00:00,1704,8,-4,134,12,1009,0,13,1,2.8284271247461903
2020-10-27 17:00:00,1781,77,67,1459,10,1076,0,2,1,8.774964387392123
2020-10-28 17:00:00,1901,120,108,1451,9,1184,3,5,0,10.954451150103322
2020-10-29 17:00:00,1987,86,72,1004,14,1256,0,1,0,9.273618495495704
2020-10-30 17:00:00,2082,95,79,1826,15,1335,1,0,0,9.746794344808963
2020-10-31 17:00:00,2199,117,111,1703,5,1446,1,9,0,10.816653826391969
2020-11-01 17:00:00,2349,150,149,1511,1,1595,0,3,4,12.24744871391589
2020-11-02 17:00:00,2460,111,100,1605,9,1695,2,2,2,10.535653752852738
2020-11-03 17:00:00,2562,102,84,1146,15,1779,3,-1,-2,10.099504938362077
2020-11-04 17:00:00,2788,226,215,1643,11,1994,0,2,4,15.033296378372908
2020-11-05 17:00:00,2923,135,127,1615,6,2121,2,1,1,11.61895003862225
2020-11-06 17:00:00,3172,249,214,1461,32,2335,3,10,0,15.7797338380595
2020-11-07 17:00:00,3277,105,80,1158,21,2415,4,-2,-1,10.246950765959598
2020-11-08 17:00:00,3523,246,239,1236,6,2654,1,4,1,15.684387141358123
2020-11-09 17:00:00,3655,132,123,731,9,2777,0,9,2,11.489125293076057
2020-11-10 17:00:00,3879,224,210,1571,12,2987,2,27,0,14.966629547095765
2020-11-11 17:00:00,4047,168,161,1456,4,3148,3,-5,1,12.96148139681572
2020-11-12 17:00:00,4249,202,192,1615,7,3340,3,1,0,14.212670403551895
2020-11-13 17:00:00,4556,307,260,2269,46,3600,1,7,4,17.52141546793523
2020-11-14 17:00:00,4821,265,233,2250,27,3833,5,3,-2,16.278820596099706
2020-11-15 17:00:00,4979,158,136,1532,21,3969,1,11,5,12.569805089976535
2020-11-16 17:00:00,5106,127,103,836,18,4072,6,-15,1,11.269427669584644
2020-11-17 17:00:00,5375,269,254,2371,15,4326,0,10,3,16.401219466856727
2020-11-18 17:00:00,5612,237,178,2061,45,4504,14,-6,-2,15.394804318340652
2020-11-19 17:00:00,5883,271,258,2148,11,4762,2,3,0,16.46207763315433
2020-11-20 17:00:00,6102,219,181,2087,35,4943,3,7,-1,14.798648586948742
2020-11-21 17:00:00,6362,260,227,1686,27,5170,6,3,-3,16.1245154965971
2020-11-22 17:00:00,6570,208,162,1540,46,5332,0,-1,-1,14.422205101855956
2020-11-23 17:00:00,6628,58,40,383,14,5372,4,1,0,7.615773105863909
2020-11-24 17:00:00,6889,261,219,1826,26,5591,16,3,-4,16.15549442140351
2020-11-25 17:00:00,7218,329,276,2585,50,5867,3,-6,3,18.138357147217054
2020-11-26 17:00:00,7454,236,233,1965,0,6100,3,2,0,15.362291495737216
2020-11-27 17:00:00,7663,218,-135,1714,341,5965,3,-3,1,14.7648230602334
2020-11-28 17:00:00,7878,215,108,1586,104,6073,3,-11,-1,14.66287829861518
2020-11-29 17:00:00,8050,172,109,1446,60,6182,3,-1,3,13.114877048604
2020-11-30 17:00:00,8142,92,10,673,74,6192,8,9,-3,9.591663046625438
2020-12-01 17:00:00,8298,156,88,1476,68,6280,0,7,-1,12.489995996796797
2020-12-02 17:00:00,8455,157,77,1776,80,6357,0,1,0,12.529964086141668
2020-12-03 17:00:00,8586,131,48,1700,78,6405,5,3,-1,11.445523142259598
2020-12-04 17:00:00,8728,142,39,1701,100,6444,3,4,0,11.916375287812984
2020-12-05 17:00:00,8859,131,-32,1412,155,6412,8,-31,-1,11.445523142259598
2020-12-06 17:00:00,8940,81,-44,1585,119,6368,6,-15,-1,9.0
2020-12-07 17:00:00,9046,106,25,713,76,6393,5,5,-2,10.295630140987
2020-12-08 17:00:00,9105,59,-45,871,103,6348,1,-3,-1,7.681145747868608
2020-12-09 17:00:00,9140,35,-64,367,97,6284,2,2,-2,5.916079783099616
2020-12-10 17:00:00,9186,46,-13,612,53,6271,6,-1,2,6.782329983125268
2020-12-11 17:00:00,9290,104,-40,914,138,6231,6,-6,0,10.198039027185569
2020-12-12 17:00:00,9375,85,31,1104,53,6262,1,-2,-1,9.219544457292887
2020-12-13 17:00:00,9425,50,-42,836,86,6220,6,1,1,7.0710678118654755
2020-12-14 17:00:00,9491,66,-73,711,134,6147,5,-1,-3,8.12403840463596
2020-12-15 17:00:00,9553,62,12,922,45,6159,5,-8,-1,7.874007874011811
2020-12-16 17:00:00,9648,95,-121,1405,216,6038,0,3,0,9.746794344808963
2020-12-17 17:00:00,9817,169,37,1384,127,6075,5,-3,-1,13.0
2020-12-18 17:00:00,9890,73,-38,1322,110,6037,1,-7,0,8.54400374531753
2020-12-19 17:00:00,9956,66,-61,773,125,5976,2,-3,0,8.12403840463596
2020-12-20 17:00:00,10029,73,29,1039,44,6005,0,-3,-1,8.54400374531753
2020-12-21 17:00:00,10054,25,-40,610,61,5965,4,-2,-1,5.0
2020-12-22 17:00:00,10124,70,-33,1587,99,5932,4,2,0,8.366600265340756
2020-12-23 17:00:00,10223,99,-60,1417,156,5872,3,-2,1,9.9498743710662
2020-12-24 17:00:00,10378,155,71,1681,80,5943,4,5,-1,12.449899597988733
2020-12-25 17:00:00,10447,69,13,853,51,5956,5,-9,-1,8.306623862918075
2020-12-26 17:00:00,10472,25,4,151,20,5960,1,2,0,5.0
2020-12-27 17:00:00,10481,9,-1,63,9,5959,1,9,-2,3.0
2020-12-28 17:00:00,10498,17,-29,217,41,5930,5,-6,1,4.123105625617661
2020-12-29 17:00:00,10566,68,24,704,43,5954,1,-8,0,8.246211251235321
2020-12-30 17:00:00,10679,113,41,1326,65,5995,7,5,-2,10.63014581273465
2020-12-31 17:00:00,10826,147,56,1354,90,6051,1,0,0,12.12435565298214
2021-01-01 17:00:00,10982,156,90,965,66,6141,0,-6,1,12.489995996796797
2021-01-02 17:00:00,11021,39,1,193,33,6142,5,10,-2,6.244997998398398
2021-01-03 17:00:00,11102,81,49,728,31,6191,1,4,0,9.0
2021-01-04 17:00:00,11143,41,-41,563,77,6150,5,-3,1,6.4031242374328485
2021-01-05 17:00:00,11199,56,20,928,35,6170,1,-1,0,7.483314773547883
2021-01-06 17:00:00,11409,210,175,1646,35,6345,0,-1,0,14.491376746189438
2021-01-07 17:00:00,11471,62,25,761,36,6370,1,2,0,7.874007874011811
2021-01-08 17:00:00,11628,157,116,1485,41,6486,0,1,0,12.529964086141668
2021-01-09 17:00:00,11771,143,73,1321,68,6559,2,-9,0,11.958260743101398
2021-01-10 17:00:00,11879,108,78,953,26,6637,4,-5,0,10.392304845413264
2021-01-11 17:00:00,11958,79,10,611,66,6647,3,11,2,8.888194417315589
2021-01-12 17:00:00,12126,168,73,1222,92,6720,3,2,-2,12.96148139681572
2021-01-13 17:00:00,12197,72,16,1034,52,6736,3,-4,0,8.48528137423857
2021-01-14 17:00:00,12287,90,69,739,19,6805,2,-10,0,9.486832980505138
2021-01-15 17:00:00,12365,78,27,1663,48,6832,3,0,0,8.831760866327848
2021-01-16 17:00:00,12452,87,49,790,36,6881,2,7,-1,9.327379053088816
2021-01-17 17:00:00,12501,49,37,956,10,6918,2,-2,1,7.0
2021-01-18 17:00:00,12508,7,-15,188,21,6903,1,-3,2,2.6457513110645907
2021-01-19 17:00:00,12568,60,38,766,14,6941,8,-5,-1,7.745966692414834
2021-01-20 17:00:00,12625,57,8,903,49,6949,0,0,-1,7.54983443527075
2021-01-21 17:00:00,12684,59,-8,773,63,6941,4,3,2,7.681145747868608
2021-01-22 17:00:00,12735,51,28,927,23,6969,0,3,-1,7.14142842854285
2021-01-23 17:00:00,12794,59,-43,1226,100,6926,2,6,-1,7.681145747868608
2021-01-24 17:00:00,12842,48,-26,574,71,6900,3,-8,0,6.928203230275509
2021-01-25 17:00:00,12913,71,28,555,39,6928,4,5,2,8.426149773176359
2021-01-26 17:00:00,12971,58,32,726,22,6960,4,-3,-4,7.615773105863909
2021-01-27 17:00:00,13045,74,-10,807,84,6950,0,-2,0,8.602325267042627
2021-01-28 17:00:00,13087,42,-23,697,64,6927,1,-7,0,6.48074069840786
2021-01-29 17:00:00,13132,45,-791,1052,833,6136,3,-3,2,6.708203932499369
2021-01-30 17:00:00,13202,70,-384,908,452,5752,2,-1,-2,8.366600265340756
2021-01-31 17:00:00,13231,29,-328,673,356,5424,1,-4,0,5.385164807134504
2021-02-01 17:00:00,13244,13,-470,265,483,4954,0,5,0,3.605551275463989
2021-02-02 17:00:00,13299,55,-1093,1821,1148,3861,0,1,0,7.416198487095663
2021-02-03 17:00:00,13367,68,-440,923,506,3421,2,-2,-1,8.246211251235321
2021-02-04 17:00:00,13435,68,15,2771,50,3436,3,1,0,8.246211251235321
2021-02-05 17:00:00,13524,89,-95,1281,184,3341,0,13,1,9.433981132056603
2021-02-06 17:00:00,13609,85,-64,1843,143,3277,6,0,-1,9.219544457292887
2021-02-07 17:00:00,13686,77,15,1071,59,3292,3,0,0,8.774964387392123
2021-02-08 17:00:00,13701,15,-24,264,36,3268,3,-2,0,3.872983346207417
2021-02-09 17:00:00,13807,106,22,1862,83,3290,1,0,2,10.295630140987
2021-02-10 17:00:00,13901,94,47,898,46,3337,1,0,2,9.695359714832659
2021-02-11 17:00:00,14003,102,-45,1294,146,3292,1,-5,0,10.099504938362077
2021-02-12 17:00:00,14093,90,54,1003,32,3346,4,-8,-1,9.486832980505138
2021-02-13 17:00:00,14177,84,50,1157,34,3396,0,-5,1,9.16515138991168
