data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,delta_positivi
2020-10-01 17:00:00,13132,390,283,8311,107,6396,0,7,-1,19.748417658131498
2020-10-02 17:00:00,13524,392,349,8482,42,6745,1,18,1,19.79898987322333
2020-10-03 17:00:00,13925,401,297,7498,103,7042,1,-5,1,20.024984394500787
2020-10-04 17:00:00,14337,412,358,7250,54,7400,0,16,1,20.29778313018444
2020-10-05 17:00:00,14768,431,309,4867,121,7709,1,13,2,20.760539492026695
2020-10-06 17:00:00,15163,395,268,5064,125,7977,2,25,4,19.87460691435179
2020-10-07 17:00:00,15707,544,366,7504,177,8343,1,32,5,23.323807579381203
2020-10-08 17:00:00,16464,757,607,9925,149,8950,1,28,3,27.51363298439521
2020-10-09 17:00:00,17233,769,647,9549,117,9597,5,28,8,27.730849247724095
2020-10-10 17:00:00,17897,664,594,9031,68,10191,2,59,0,25.768197453450252
2020-10-11 17:00:00,18530,633,503,9232,128,10694,2,29,-2,25.15949125081825
2020-10-12 17:00:00,19192,662,532,7405,130,11226,0,21,3,25.729360660537214
2020-10-13 17:00:00,19827,635,552,7720,77,11778,6,9,-2,25.199206336708304
2020-10-14 17:00:00,20645,818,665,11396,151,12443,2,41,-1,28.600699292150182
2020-10-15 17:00:00,21772,1127,801,13780,317,13244,9,27,5,33.57082066318904
2020-10-16 17:00:00,23033,1261,1110,14222,148,14354,3,24,1,35.510561809129406
2020-10-17 17:00:00,24443,1410,1336,14704,74,15690,0,31,8,37.54996671103717
2020-10-18 17:00:00,25819,1376,1175,14256,199,16865,2,32,3,37.094473981982816
2020-10-19 17:00:00,27412,1593,1449,12695,123,18314,21,35,7,39.91240408695021
2020-10-20 17:00:00,28724,1312,1144,10205,156,19458,12,62,6,36.22154055254967
2020-10-21 17:00:00,30484,1760,1643,13878,106,21101,11,50,-6,41.95235392680606
2020-10-22 17:00:00,32025,1541,1460,12001,75,22561,6,41,9,39.25557285278104
2020-10-23 17:00:00,34305,2280,2074,15801,194,24635,12,53,4,47.74934554525329
2020-10-24 17:00:00,36023,1718,1668,12530,42,26303,8,28,10,41.44876355212541
2020-10-25 17:00:00,38613,2590,2417,16906,173,28720,0,33,5,50.89204259999789
2020-10-26 17:00:00,40594,1981,1955,11569,10,30675,16,40,10,44.50842616853577
2020-10-27 17:00:00,43355,2761,2166,14781,575,32841,20,19,17,52.54521862167861
2020-10-28 17:00:00,45782,2427,2045,15030,365,34886,17,25,20,49.26459174701441
2020-10-29 17:00:00,48885,3103,2818,17735,265,37704,20,62,4,55.70457790882182
2020-10-30 17:00:00,52071,3186,2646,18656,525,40350,15,88,-3,56.444663166680336
2020-10-31 17:00:00,55740,3669,3380,20860,275,43730,14,18,7,60.572270883631234
2020-11-01 17:00:00,59600,3860,3448,21785,409,47178,3,13,2,62.12889826803627
2020-11-02 17:00:00,62461,2861,1592,15632,1245,48770,24,70,1,53.48831648126533
2020-11-03 17:00:00,65432,2971,1949,13801,998,50719,24,11,56,54.506880299646575
2020-11-04 17:00:00,69613,4181,3769,21684,397,54488,15,72,-52,64.66065264130884
2020-11-05 17:00:00,73501,3888,3560,19568,311,58048,17,39,-1,62.353829072479584
2020-11-06 17:00:00,78009,4508,4148,23897,320,62196,40,69,6,67.14164132637808
2020-11-07 17:00:00,82318,4309,3310,22696,984,65506,15,79,-1,65.64297372910524
2020-11-08 17:00:00,86919,4601,4146,25806,440,69652,15,61,7,67.83067152844649
2020-11-09 17:00:00,90039,3120,2668,15793,434,72320,18,132,5,55.85696017507576
2020-11-10 17:00:00,92755,2716,1908,14290,790,74228,18,112,2,52.11525688318153
2020-11-11 17:00:00,95921,3166,2442,18446,690,76670,34,16,-12,56.2672195865408
2020-11-12 17:00:00,99986,4065,3389,23840,645,80059,31,-133,11,63.75735251718032
2020-11-13 17:00:00,104065,4079,3161,25510,878,83220,40,209,-9,63.86704940734306
2020-11-14 17:00:00,107416,3351,2026,20662,1298,85246,27,-73,1,57.88782255362521
2020-11-15 17:00:00,111187,3771,3011,24948,725,88257,35,144,10,61.40846847137616
2020-11-16 17:00:00,115266,4079,3257,25110,785,91514,37,-34,-2,63.86704940734306
2020-11-17 17:00:00,118285,3019,1212,16178,1788,92726,19,46,9,54.945427471264615
2020-11-18 17:00:00,121942,3657,2413,23479,1169,95139,75,23,-1,60.473134530963414
2020-11-19 17:00:00,125276,3334,1047,23496,2255,96186,32,28,-6,57.7408001330082
2020-11-20 17:00:00,129502,4226,2806,27649,1395,98992,25,-43,7,65.00769185258002
2020-11-21 17:00:00,133056,3554,2143,24692,1379,101135,32,16,-3,59.61543424315552
2020-11-22 17:00:00,136273,3217,2346,24332,850,103481,21,-42,3,56.71860364994893
2020-11-23 17:00:00,138431,2158,28,15739,2091,103509,39,113,0,46.45427859734774
2020-11-24 17:00:00,140195,1764,-658,13744,2344,102851,78,-57,0,42.0
2020-11-25 17:00:00,143010,2815,-703,23130,3471,102148,47,8,-9,53.056573579529235
2020-11-26 17:00:00,146018,3008,1236,23761,1723,103384,49,-70,8,54.84523680320835
2020-11-27 17:00:00,148942,2924,598,22301,2263,103982,63,-24,-16,54.0740233383831
2020-11-28 17:00:00,151671,2729,401,22007,2279,104383,49,-24,2,52.23983154643591
2020-11-29 17:00:00,153693,2022,403,19063,1583,104786,36,1,-3,44.96665431183423
2020-11-30 17:00:00,155319,1626,-259,14286,1843,104527,42,-24,-1,40.32369030731191
2020-12-01 17:00:00,156432,1113,-1648,9241,2713,102879,48,-42,-3,33.36165463522455
2020-12-02 17:00:00,158274,1842,-384,19759,2183,102495,43,-35,-6,42.91852746774987
2020-12-03 17:00:00,160569,2295,79,24709,2162,102574,54,-23,-11,47.90615826801394
2020-12-04 17:00:00,162220,1651,-718,18733,2284,101856,85,-42,4,40.63249930782009
2020-12-05 17:00:00,163741,1521,-495,18636,1961,101361,55,-441,-1,39.0
2020-12-06 17:00:00,165293,1552,-118,19313,1638,101243,32,358,-10,39.395431207184416
2020-12-07 17:00:00,166353,1060,-948,12330,1969,100295,39,-76,-18,32.55764119219941
2020-12-08 17:00:00,167433,1080,-1530,12360,2575,98765,35,58,3,32.863353450309965
2020-12-09 17:00:00,168794,1361,-1552,15872,2869,97213,44,-46,-2,36.89173349139343
2020-12-10 17:00:00,169992,1198,-1048,14106,2189,96165,57,-63,2,34.61213659975356
2020-12-11 17:00:00,171332,1340,-1685,18023,2962,94480,63,39,4,36.60601043544625
2020-12-12 17:00:00,172746,1414,-391,19663,1758,94089,47,-34,-7,37.603191353926334
2020-12-13 17:00:00,173965,1219,-829,17319,2013,93260,35,10,-3,34.91418050019218
2020-12-14 17:00:00,175053,1088,-590,15472,1648,92670,30,-8,-4,32.984845004941285
2020-12-15 17:00:00,175700,647,-2428,8441,3025,90242,50,-76,-7,25.436194683953808
2020-12-16 17:00:00,176600,900,-2038,14757,2904,88204,34,-19,1,30.0
2020-12-17 17:00:00,177527,927,-1651,15130,2530,86553,48,-45,-5,30.44667469527666
2020-12-18 17:00:00,178728,1201,-1856,18146,3001,84697,56,-35,1,34.655446902326915
2020-12-19 17:00:00,179677,949,-507,15739,1424,84190,32,-23,2,30.805843601498726
2020-12-20 17:00:00,180568,891,-224,14109,1104,83966,11,-44,-3,29.8496231131986
2020-12-21 17:00:00,181259,691,-434,9662,1097,83532,28,17,1,26.28687885618983
2020-12-22 17:00:00,182050,791,-2273,10185,3039,81259,25,-42,-2,28.124722220850465
2020-12-23 17:00:00,183117,1067,-1312,18426,2360,79947,19,-16,-11,32.66496594212215
2020-12-24 17:00:00,184273,1156,62,20404,1074,80009,20,-25,-5,34.0
2020-12-25 17:00:00,185282,1009,538,16355,464,80547,7,-39,0,31.76476034853718
2020-12-26 17:00:00,185821,539,16,6446,515,80563,8,-18,-4,23.2163735324878
2020-12-27 17:00:00,186131,310,-488,3382,790,80075,8,9,-3,17.60681686165901
2020-12-28 17:00:00,186564,433,-779,4650,1179,79296,33,-18,3,20.808652046684813
2020-12-29 17:00:00,187189,625,-805,6849,1384,78491,46,-20,-1,25.0
2020-12-30 17:00:00,188119,930,-880,11985,1763,77611,47,-45,5,30.495901363953813
2020-12-31 17:00:00,189673,1554,-356,19003,1878,77255,32,-32,11,39.42080668885405
2021-01-01 17:00:00,191407,1734,1073,20458,641,78328,20,34,-9,41.641325627314025
2021-01-02 17:00:00,191799,392,-313,3209,676,78015,29,-4,-5,19.79898987322333
2021-01-03 17:00:00,192418,619,-190,6411,791,77825,18,7,-1,24.879710609249457
2021-01-04 17:00:00,193165,747,-328,6743,1044,77497,31,15,-2,27.331300737432898
2021-01-05 17:00:00,193853,688,-1137,7425,1792,76360,33,-5,1,26.229754097208
2021-01-06 17:00:00,195219,1366,-17,17212,1364,76343,19,-10,2,36.959437225152655
2021-01-07 17:00:00,196271,1052,16,11930,997,76359,39,23,-3,32.43454948045371
2021-01-08 17:00:00,197255,984,-1213,8889,2151,75146,46,10,4,31.368774282716245
2021-01-09 17:00:00,198518,1263,130,14714,1097,75276,36,-19,7,35.53871128783372
2021-01-10 17:00:00,199771,1253,112,15411,1128,75388,13,1,-1,35.397740040855716
2021-01-11 17:00:00,200792,1021,-671,9690,1655,74717,37,23,3,31.953090617340916
2021-01-12 17:00:00,201454,662,-2128,8747,2746,72589,44,14,0,25.729360660537214
2021-01-13 17:00:00,202552,1098,-329,14742,1379,72260,48,-9,-3,33.13608305156178
2021-01-14 17:00:00,203846,1294,493,13728,760,72753,41,-40,-2,35.9722114972099
2021-01-15 17:00:00,204996,1150,180,13929,933,72933,37,36,-11,33.91164991562634
2021-01-16 17:00:00,206128,1132,1133,14611,-1,74066,0,31,4,33.645207682521445
2021-01-17 17:00:00,207149,1021,-955,14588,1941,73111,35,28,-3,31.953090617340916
2021-01-18 17:00:00,207863,714,-449,7758,1138,72662,25,-12,0,26.720778431774775
2021-01-19 17:00:00,208514,651,-782,9441,1399,71880,34,20,3,25.514701644346147
2021-01-20 17:00:00,209482,968,-1014,15343,1940,70866,42,-20,3,31.11269837220809
2021-01-21 17:00:00,210697,1215,312,15473,863,71178,40,-8,0,34.85685011586675
