data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,delta_positivi
2020-10-01 17:00:00,4723,57,41,4312,16,759,0,1,-2,7.54983443527075
2020-10-02 17:00:00,4789,66,34,4683,30,793,2,-2,-2,8.12403840463596
2020-10-03 17:00:00,4840,51,35,3900,16,828,0,-1,3,7.14142842854285
2020-10-04 17:00:00,4890,50,23,2368,27,851,0,1,0,7.0710678118654755
2020-10-05 17:00:00,4911,21,17,1152,4,868,0,5,0,4.58257569495584
2020-10-06 17:00:00,4962,51,40,3048,9,908,2,1,0,7.14142842854285
2020-10-07 17:00:00,5034,72,37,5174,35,945,0,2,1,8.48528137423857
2020-10-08 17:00:00,5144,110,75,4953,35,1020,0,-3,0,10.488088481701515
2020-10-09 17:00:00,5290,146,121,4307,25,1141,0,0,0,12.083045973594572
2020-10-10 17:00:00,5416,126,103,4269,23,1244,0,0,0,11.224972160321824
2020-10-11 17:00:00,5513,97,79,1694,17,1323,1,-1,-1,9.848857801796104
2020-10-12 17:00:00,5572,59,49,1696,10,1372,0,0,0,7.681145747868608
2020-10-13 17:00:00,5610,38,32,2747,6,1404,0,5,5,6.164414002968976
2020-10-14 17:00:00,5792,182,150,6030,32,1554,0,1,1,13.490737563232042
2020-10-15 17:00:00,5928,136,93,5027,41,1647,2,4,0,11.661903789690601
2020-10-16 17:00:00,6093,165,152,5327,12,1799,1,13,1,12.84523257866513
2020-10-17 17:00:00,6260,167,140,4340,27,1939,0,4,1,12.922847983320086
2020-10-18 17:00:00,6415,155,142,2295,11,2081,2,7,1,12.449899597988733
2020-10-19 17:00:00,6505,90,87,1281,0,2168,3,6,-1,9.486832980505138
2020-10-20 17:00:00,6636,131,-236,3915,365,1932,2,3,1,11.445523142259598
2020-10-21 17:00:00,6855,219,174,4627,44,2106,1,11,2,14.798648586948742
2020-10-22 17:00:00,7075,220,119,5510,100,2225,1,7,-2,14.832396974191326
2020-10-23 17:00:00,7415,340,252,5301,87,2477,1,5,5,18.439088914585774
2020-10-24 17:00:00,7827,412,299,6521,110,2776,3,12,-3,20.29778313018444
2020-10-25 17:00:00,8161,334,251,3800,81,3027,2,12,7,18.275666882497067
2020-10-26 17:00:00,8495,334,258,3087,73,3285,3,7,4,18.275666882497067
2020-10-27 17:00:00,8736,241,160,4422,80,3445,1,20,4,15.524174696260024
2020-10-28 17:00:00,9142,406,287,5573,115,3732,4,7,4,20.149441679609886
