data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,delta_positivi
2020-10-01 17:00:00,317409,2548,1384,118236,1140,52647,24,50,11,50.47771785649585
2020-10-02 17:00:00,319908,2499,1350,120301,1126,53997,23,45,3,49.98999899979995
2020-10-03 17:00:00,322751,2844,1569,118932,1247,55566,27,63,3,53.32916650389353
2020-10-04 17:00:00,325329,2578,1863,92714,697,57429,18,82,6,50.774009099144415
2020-10-05 17:00:00,327586,2257,1474,60241,767,58903,16,200,20,47.50789408087881
2020-10-06 17:00:00,330263,2677,1231,99742,1418,60134,28,138,-4,51.73973328110612
2020-10-07 17:00:00,333940,3678,2442,125314,1204,62576,31,157,18,60.64651680022522
2020-10-08 17:00:00,338398,4458,3376,128098,1060,65952,22,143,21,66.76825593049439
2020-10-09 17:00:00,343770,5372,4158,129471,1186,70110,28,161,29,73.29392880723478
2020-10-10 17:00:00,349494,5724,4719,133084,976,74829,29,250,3,75.65712127751095
2020-10-11 17:00:00,354950,5456,4246,104658,1184,79075,26,183,30,73.86474125047755
2020-10-12 17:00:00,359569,4619,3689,85442,891,82764,39,302,32,67.96322535018479
2020-10-13 17:00:00,365467,5901,4429,112544,1428,87193,41,255,62,76.81796664843453
2020-10-14 17:00:00,372799,7332,5252,152196,2037,92445,43,394,25,85.62709851443059
2020-10-15 17:00:00,381602,8804,6821,162932,1899,99266,83,326,47,93.8296328459192
2020-10-16 17:00:00,391611,10010,8046,150377,1908,107312,55,382,52,100.0499875062461
2020-10-17 17:00:00,402536,10925,9623,165837,1255,116935,47,439,67,104.52272480183436
2020-10-18 17:00:00,414241,11705,9302,146541,2334,126237,69,514,45,108.18964830333815
2020-10-19 17:00:00,423578,9338,7766,98862,1498,134003,73,545,47,96.63332758422428
2020-10-20 17:00:00,434449,10874,8736,144737,2046,142739,89,778,73,104.27847332982968
2020-10-21 17:00:00,449648,15199,12703,177848,2369,155442,127,603,56,123.28422445714618
2020-10-22 17:00:00,465726,16079,13860,170392,2082,169302,136,637,66,126.80299681001235
2020-10-23 17:00:00,484869,19143,16700,182032,2352,186002,91,855,57,138.35823069120246
2020-10-24 17:00:00,504509,19644,17180,177669,2309,203182,151,738,79,140.15705476357584
2020-10-25 17:00:00,525782,21273,19059,161880,2086,222241,128,719,80,145.85266538531272
2020-10-26 17:00:00,542789,17012,14443,124686,2423,236684,141,991,76,130.43005788544295
2020-10-27 17:00:00,564778,21994,18406,174398,3362,255090,221,958,127,148.3037423668061
2020-10-28 17:00:00,589766,24991,21367,198952,3416,276457,205,1026,125,158.08541994757138
2020-10-29 17:00:00,616595,26831,22734,201452,3878,299191,217,983,115,163.80170939278992
2020-10-30 17:00:00,647674,31084,26595,215085,4285,325786,199,1030,95,176.30655121123547
2020-10-31 17:00:00,679430,31758,25600,215886,5859,351386,297,972,97,178.20774393948204
2020-11-01 17:00:00,709335,29907,26743,183457,2954,378129,208,936,96,172.93640449598806
2020-11-02 17:00:00,731588,22253,18383,135731,3637,396512,233,938,83,149.17439458566608
2020-11-03 17:00:00,759829,28244,21630,182287,6258,418142,353,1274,203,168.05951326836575
2020-11-04 17:00:00,790377,30550,25093,211831,5103,443235,335,1002,67,174.78558292948534
2020-11-05 17:00:00,824879,34505,29113,219884,4961,472348,445,1140,99,185.75521526998912
2020-11-06 17:00:00,862681,37809,26770,234245,10586,499118,446,749,124,194.4453650771856
2020-11-07 17:00:00,902490,39811,33418,231673,5966,532536,425,1104,119,199.52694053686085
2020-11-08 17:00:00,935104,32616,26100,191144,6183,558636,331,1331,115,180.59900331950894
2020-11-09 17:00:00,960373,25271,14698,147725,10215,573334,356,1196,100,158.96855034880326
2020-11-10 17:00:00,995463,35098,16776,217758,17734,590110,580,997,122,187.34460227078867
2020-11-11 17:00:00,1028424,32961,23248,225640,9090,613358,623,811,110,181.55164554473197
2020-11-12 17:00:00,1066401,37978,21696,234672,15645,635054,636,429,89,194.87944991712183
2020-11-13 17:00:00,1107303,40902,28872,254908,11480,663926,550,1041,60,202.24242878288422
2020-11-14 17:00:00,1144552,37255,24509,227695,12196,688435,544,484,76,193.0155434155498
2020-11-15 17:00:00,1178529,33979,24055,195275,9376,712490,546,649,116,184.33393610510248
2020-11-16 17:00:00,1205881,27354,5294,152663,21554,717784,504,489,70,165.39044712437294
2020-11-17 17:00:00,1238072,32191,16026,208458,15434,733810,731,538,120,179.41850517714164
2020-11-18 17:00:00,1272352,34282,9358,234834,24169,743168,753,430,58,185.15398996510984
2020-11-19 17:00:00,1308528,36176,18503,250186,17020,761671,653,106,42,190.19989484749985
2020-11-20 17:00:00,1345767,37242,15505,238077,21035,777176,699,347,36,192.98186443290467
2020-11-21 17:00:00,1380531,34767,14570,237225,19502,791746,692,106,10,186.459110799124
2020-11-22 17:00:00,1408868,28337,14201,188747,13574,805947,562,216,43,168.33597357665414
2020-11-23 17:00:00,1431795,22930,-9098,148945,31395,796849,630,418,9,151.42654985173505
2020-11-24 17:00:00,1455022,23232,1537,188659,20837,798386,853,-120,6,152.4204710660612
2020-11-25 17:00:00,1480874,25853,-6689,230007,31819,791697,722,-264,32,160.7886811936711
2020-11-26 17:00:00,1509875,29003,4148,232711,24031,795845,822,-275,-2,170.30267173476756
2020-11-27 17:00:00,1538217,28352,-7952,222803,35467,787893,827,-354,-64,168.3805214387935
2020-11-28 17:00:00,1564532,26323,1415,225940,24214,789308,686,-385,-20,162.24364394329905
2020-11-29 17:00:00,1585178,20648,6463,176934,13642,795771,541,-420,-9,143.69411957348845
2020-11-30 17:00:00,1601554,16377,-7300,130524,23004,788471,672,308,-9,127.97265332874832
