data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,delta_positivi
2020-10-01 17:00:00,16740,265,195,11373,65,7343,5,7,2,16.278820596099706
2020-10-02 17:00:00,17004,264,204,11952,55,7547,5,12,0,16.24807680927192
2020-10-03 17:00:00,17265,261,178,13349,78,7725,5,33,-2,16.15549442140351
2020-10-04 17:00:00,17509,244,208,11737,30,7933,6,26,1,15.620499351813308
2020-10-05 17:00:00,17757,248,209,11402,34,8142,5,27,0,15.748015748023622
2020-10-06 17:00:00,18032,275,148,10855,123,8290,4,10,-4,16.583123951777
2020-10-07 17:00:00,18389,357,290,11908,61,8580,6,34,4,18.894443627691185
2020-10-08 17:00:00,18748,359,272,13333,81,8852,6,13,7,18.947295321496416
2020-10-09 17:00:00,19135,387,334,14439,47,9186,6,32,2,19.672315572906
2020-10-10 17:00:00,19519,384,319,14358,59,9505,6,31,0,19.595917942265423
2020-10-11 17:00:00,19890,371,337,12733,30,9842,4,27,12,19.261360284258224
2020-10-12 17:00:00,20285,395,280,13830,107,10122,8,16,9,19.87460691435179
2020-10-13 17:00:00,20864,579,515,15408,59,10637,5,-31,5,24.06241883103193
2020-10-14 17:00:00,21407,543,426,15484,112,11063,5,41,2,23.302360395462088
2020-10-15 17:00:00,22001,594,542,15930,45,11605,7,32,5,24.372115213907882
2020-10-16 17:00:00,22796,795,712,19438,78,12317,5,35,8,28.19574435974337
2020-10-17 17:00:00,23790,994,920,27748,62,13237,12,39,0,31.52776554086889
2020-10-18 17:00:00,24988,1198,1143,23010,49,14380,6,42,1,34.61213659975356
2020-10-19 17:00:00,25927,939,811,17573,119,15191,9,45,12,30.643106892089126
2020-10-20 17:00:00,27151,1224,1142,21117,77,16333,5,66,12,34.9857113690718
2020-10-21 17:00:00,28370,1219,1070,20505,133,17403,16,30,6,34.91418050019218
2020-10-22 17:00:00,29621,1251,1128,21575,107,18531,16,67,2,35.369478367654786
2020-10-23 17:00:00,31010,1389,1290,22457,88,19821,11,61,4,37.26929030716845
2020-10-24 17:00:00,32697,1687,1584,22779,94,21405,9,84,6,41.0731055558257
2020-10-25 17:00:00,34238,1541,1410,21832,121,22815,10,38,5,39.25557285278104
2020-10-26 17:00:00,35936,1698,1591,18991,91,24406,16,123,12,41.20679555607303
2020-10-27 17:00:00,37929,1993,1736,25222,234,26142,23,33,8,44.64302857109943
2020-10-28 17:00:00,39892,1963,1804,22947,140,27946,19,37,0,44.30575583375144
2020-10-29 17:00:00,41887,1995,1766,25164,214,29712,15,117,2,44.66542286825459
2020-10-30 17:00:00,44133,2246,2035,25404,194,31747,17,87,7,47.391982444291145
2020-10-31 17:00:00,46422,2289,2159,25767,108,33906,22,71,7,47.843494855622744
2020-11-01 17:00:00,48773,2351,2200,22942,132,36106,19,111,3,48.48711168960263
2020-11-02 17:00:00,50632,1859,1677,19574,159,37783,23,-23,0,43.116122274620196
2020-11-03 17:00:00,52841,2209,1946,25481,242,39729,21,160,12,47.0
2020-11-04 17:00:00,55273,2432,2154,26612,244,41883,34,125,20,49.31531202375181
2020-11-05 17:00:00,58008,2735,2407,30283,293,44290,35,191,5,52.29722745997153
2020-11-06 17:00:00,60707,2699,2394,28744,279,46684,26,3,12,51.95190083144215
2020-11-07 17:00:00,63325,2618,2352,30644,239,49036,27,108,3,51.16639522186413
2020-11-08 17:00:00,65814,2489,2342,24486,131,51378,16,67,0,49.889878733065686
2020-11-09 17:00:00,67967,2153,1896,22518,241,53274,16,75,0,46.400431032480725
2020-11-10 17:00:00,70575,2608,2315,29315,257,55589,36,24,20,51.068581339214816
2020-11-11 17:00:00,73054,2479,1994,26554,447,57583,38,128,-2,49.78955713801841
2020-11-12 17:00:00,75740,2686,2336,29119,301,59919,49,40,4,51.82663407939975
2020-11-13 17:00:00,78665,2925,2480,28309,411,62399,34,65,1,54.08326913195984
2020-11-14 17:00:00,81662,2997,2559,29822,399,64958,39,58,13,54.74486277268398
2020-11-15 17:00:00,84274,2612,2351,22434,240,67309,21,83,1,51.10772935672255
2020-11-16 17:00:00,86681,2407,1961,19699,412,69270,34,-60,4,49.06118628814432
2020-11-17 17:00:00,89219,2538,1985,25058,494,71255,59,-33,30,50.37856687124
2020-11-18 17:00:00,92085,2866,2236,26869,550,73491,80,-10,10,53.53503525729669
2020-11-19 17:00:00,94782,2697,2050,27519,586,75541,61,47,11,51.93264869039514
2020-11-20 17:00:00,97449,2667,2205,26887,421,77746,41,99,8,51.64300533470143
