data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,delta_positivi
2020-10-01 17:00:00,7983,28,18,2137,10,813,0,-4,4,5.291502622129181
2020-10-02 17:00:00,8025,42,31,2119,11,844,0,1,-2,6.48074069840786
2020-10-03 17:00:00,8084,59,52,2059,6,896,1,-2,2,7.681145747868608
2020-10-04 17:00:00,8143,59,45,1862,13,941,1,1,0,7.681145747868608
2020-10-05 17:00:00,8165,22,13,712,9,954,0,4,0,4.69041575982343
2020-10-06 17:00:00,8200,35,28,1562,7,982,0,1,0,5.916079783099616
2020-10-07 17:00:00,8284,84,70,2517,14,1052,0,2,-1,9.16515138991168
2020-10-08 17:00:00,8350,66,55,2062,11,1107,0,3,0,8.12403840463596
2020-10-09 17:00:00,8399,49,38,2295,11,1145,0,3,-2,7.0
2020-10-10 17:00:00,8485,86,58,2398,28,1203,0,4,0,9.273618495495704
2020-10-11 17:00:00,8593,108,100,2385,8,1303,0,3,3,10.392304845413264
2020-10-12 17:00:00,8630,37,26,837,11,1329,0,6,-1,6.082762530298219
2020-10-13 17:00:00,8712,82,66,1525,16,1395,0,10,1,9.055385138137417
2020-10-14 17:00:00,8878,166,142,3082,24,1537,0,4,2,12.884098726725126
2020-10-15 17:00:00,9018,140,127,2674,13,1664,0,-3,1,11.832159566199232
2020-10-16 17:00:00,9133,115,90,2198,25,1754,0,12,1,10.723805294763608
2020-10-17 17:00:00,9254,121,108,2194,13,1862,0,4,0,11.0
2020-10-18 17:00:00,9458,204,183,2542,18,2045,3,11,3,14.2828568570857
2020-10-19 17:00:00,9556,98,73,1217,25,2118,0,9,3,9.899494936611665
2020-10-20 17:00:00,9645,89,64,1882,24,2182,1,2,3,9.433981132056603
2020-10-21 17:00:00,9871,226,195,2540,30,2377,1,16,0,15.033296378372908
2020-10-22 17:00:00,10192,321,247,3776,73,2624,1,18,0,17.916472867168917
2020-10-23 17:00:00,10645,453,425,4317,26,3049,2,19,3,21.283796653792763
2020-10-24 17:00:00,10919,274,250,2713,23,3299,1,26,1,16.55294535724685
2020-10-25 17:00:00,11440,521,427,3387,92,3726,2,0,0,22.825424421026653
2020-10-26 17:00:00,11678,238,196,1061,41,3922,1,49,3,15.427248620541512
2020-10-27 17:00:00,12058,380,303,2705,75,4225,2,23,2,19.493588689617926
2020-10-28 17:00:00,12409,351,301,3046,48,4526,2,0,4,18.734993995195193
2020-10-29 17:00:00,13095,686,610,3915,75,5136,1,-3,7,26.19160170741759
2020-10-30 17:00:00,13619,524,505,3565,15,5641,4,15,0,22.891046284519195
2020-10-31 17:00:00,14121,502,464,3195,32,6105,6,13,8,22.40535650240808
2020-11-01 17:00:00,14804,683,618,3024,63,6723,2,52,-5,26.13426869074396
2020-11-02 17:00:00,15177,373,319,1773,50,7042,4,7,8,19.313207915827967
2020-11-03 17:00:00,15608,431,375,2540,50,7417,6,40,3,20.760539492026695
2020-11-04 17:00:00,16261,653,581,3653,71,7998,1,24,1,25.553864678361276
2020-11-05 17:00:00,16959,698,629,3349,67,8627,2,23,2,26.419689627245813
2020-11-06 17:00:00,17656,697,613,3842,81,9240,3,23,4,26.40075756488817
2020-11-07 17:00:00,18287,631,587,3603,36,9827,8,10,7,25.11971337416094
2020-11-08 17:00:00,18789,502,414,2946,83,10241,5,39,2,22.40535650240808
2020-11-09 17:00:00,19051,262,210,1266,45,10451,7,26,2,16.186414056238647
2020-11-10 17:00:00,19555,504,438,2608,56,10889,10,6,4,22.44994432064365
2020-11-11 17:00:00,20256,701,625,3656,66,11514,10,11,-1,26.476404589747453
2020-11-12 17:00:00,21090,834,698,4186,130,12212,6,0,0,28.879058156387302
2020-11-13 17:00:00,21830,740,622,3588,107,12834,11,23,0,27.202941017470888
2020-11-14 17:00:00,22609,779,585,4275,186,13419,8,-75,0,27.910571473905726
2020-11-15 17:00:00,23316,707,630,3819,68,14049,9,-1,3,26.589471600616662
2020-11-16 17:00:00,23598,282,162,1620,112,14211,8,16,1,16.792855623746664
2020-11-17 17:00:00,23955,357,300,2308,46,14511,11,26,0,18.894443627691185
2020-11-18 17:00:00,24434,479,242,4802,228,14753,9,2,1,21.88606862823929
2020-11-19 17:00:00,25101,667,103,3795,553,14856,11,-1,-1,25.826343140289914
2020-11-20 17:00:00,25613,512,121,3367,380,14977,11,16,3,22.627416997969522
2020-11-21 17:00:00,26065,452,145,3032,300,15122,7,2,5,21.2602916254693
2020-11-22 17:00:00,26594,529,245,3282,272,15367,12,-2,2,23.0
2020-11-23 17:00:00,26755,161,95,1239,58,15462,8,8,2,12.68857754044952
2020-11-24 17:00:00,27106,351,255,2254,83,15717,13,5,-1,18.734993995195193
2020-11-25 17:00:00,27554,448,314,3763,124,16031,10,23,5,21.166010488516726
2020-11-26 17:00:00,28073,519,378,2905,131,16409,10,8,-4,22.781571499789035
2020-11-27 17:00:00,28563,490,434,2001,47,16843,9,-22,1,22.135943621178654
2020-11-28 17:00:00,29036,473,400,2971,61,17243,12,7,-6,21.748563170931547
2020-11-29 17:00:00,29554,518,453,3451,52,17696,13,27,0,22.759613353482084
2020-11-30 17:00:00,29806,252,220,1913,23,17916,9,-13,2,15.874507866387544
2020-12-01 17:00:00,30143,337,288,2349,37,18204,12,1,-1,18.35755975068582
2020-12-02 17:00:00,30564,421,365,3180,43,18569,13,-21,-1,20.518284528683193
2020-12-03 17:00:00,31040,476,380,3178,87,18949,9,-39,3,21.817424229271428
2020-12-04 17:00:00,31532,492,412,4817,73,19361,7,-8,-1,22.181073012818835
2020-12-05 17:00:00,31950,418,337,4326,72,19698,9,-12,-3,20.445048300260872
2020-12-06 17:00:00,32393,443,360,3792,70,20058,13,12,-2,21.047565179849187
2020-12-07 17:00:00,32538,145,-6010,1400,6145,14048,10,0,0,12.041594578792296
2020-12-08 17:00:00,32831,293,-227,3510,502,13821,18,-4,5,17.11724276862369
2020-12-09 17:00:00,33060,229,-304,2087,524,13517,9,4,-2,15.132745950421556
2020-12-10 17:00:00,33383,323,-298,3071,612,13219,9,-17,1,17.97220075561143
2020-12-11 17:00:00,33866,483,-106,4697,583,13113,6,-11,0,21.97726097583591
2020-12-12 17:00:00,34317,451,-510,4139,950,12603,11,-3,0,21.236760581595302
2020-12-13 17:00:00,34798,481,-309,4206,776,12294,14,-11,-5,21.93171219946131
2020-12-14 17:00:00,34972,174,508,1075,-344,12802,10,-7,2,13.19090595827292
2020-12-15 17:00:00,35200,228,-912,3356,1126,11890,14,-2,-5,15.0996688705415
2020-12-16 17:00:00,35680,480,-759,6960,1230,11131,9,-19,-3,21.908902300206645
2020-12-17 17:00:00,36147,467,-299,4824,757,10832,9,-12,-8,21.61018278497431
2020-12-18 17:00:00,36528,381,-290,5085,658,10542,13,-9,-3,19.519221295943137
2020-12-19 17:00:00,36897,369,-472,5082,831,10070,10,-11,1,19.209372712298546
2020-12-20 17:00:00,37269,372,-309,4621,674,9761,7,0,-1,19.28730152198591
2020-12-21 17:00:00,37431,162,-164,1434,318,9597,8,7,-1,12.727922061357855
2020-12-22 17:00:00,37794,363,-100,4162,456,9497,7,-2,-2,19.05255888325765
2020-12-23 17:00:00,38292,498,62,6090,432,9559,4,-10,0,22.315913604421397
2020-12-24 17:00:00,38707,415,-144,5613,550,9415,9,-2,3,20.37154878746336
2020-12-25 17:00:00,39310,603,152,6711,439,9567,12,-11,-4,24.55605831561735
2020-12-26 17:00:00,39516,206,68,1797,132,9635,6,14,4,14.352700094407323
2020-12-27 17:00:00,39697,181,36,1173,140,9671,5,16,1,13.45362404707371
2020-12-28 17:00:00,39828,131,66,1039,57,9737,8,26,-5,11.445523142259598
2020-12-29 17:00:00,40336,508,392,4229,105,10129,11,11,1,22.538855339169288
2020-12-30 17:00:00,40921,585,443,7315,131,10572,11,3,1,24.186773244895647
2020-12-31 17:00:00,41624,703,606,5582,83,11178,14,2,0,26.514147167125703
2021-01-01 17:00:00,42317,693,561,5036,122,11739,10,9,-1,26.324893162176366
2021-01-02 17:00:00,42602,285,48,2091,224,11787,13,0,4,16.881943016134134
2021-01-03 17:00:00,42974,372,279,2575,80,12066,13,0,2,19.28730152198591
2021-01-04 17:00:00,43329,355,251,3038,96,12317,8,8,-2,18.841443681416774
2021-01-05 17:00:00,43787,458,389,4838,50,12706,19,8,0,21.400934559032695
2021-01-06 17:00:00,44530,743,592,6908,138,13298,13,17,2,27.258026340878022
2021-01-07 17:00:00,44876,346,284,3009,48,13582,14,9,2,18.601075237738275
2021-01-08 17:00:00,45440,564,430,5796,119,14012,15,11,-1,23.748684174075834
2021-01-09 17:00:00,46128,688,594,5311,85,14606,9,-3,3,26.229754097208
2021-01-10 17:00:00,46815,687,640,5544,34,15246,13,12,2,26.210684844162312
2021-01-11 17:00:00,47148,333,-677,1927,997,14569,13,7,8,18.24828759089466
2021-01-12 17:00:00,47647,499,-379,5615,866,14190,12,40,-2,22.338307903688676
2021-01-13 17:00:00,48127,480,-1032,7031,1500,13158,12,6,-6,21.908902300206645
2021-01-14 17:00:00,48633,506,-965,6667,1453,12193,18,-11,3,22.494443758403985
2021-01-15 17:00:00,49262,629,-504,8165,1123,11689,10,4,6,25.079872407968907
2021-01-16 17:00:00,49671,409,-595,5813,995,11094,9,4,3,20.223748416156685
2021-01-17 17:00:00,50111,440,-552,6557,981,10542,11,-1,-2,20.97617696340303
2021-01-18 17:00:00,50268,157,-291,3324,437,10251,11,1,2,12.529964086141668
2021-01-19 17:00:00,50627,359,-711,5504,1054,9540,16,-4,0,18.947295321496416
2021-01-20 17:00:00,51044,417,-925,7122,1327,8615,15,-14,-1,20.42057785666214
2021-01-21 17:00:00,51544,500,-541,9953,1025,8074,16,-18,-1,22.360679774997898
2021-01-22 17:00:00,51981,437,197,9012,229,8271,11,0,-4,20.904544960366874
2021-01-23 17:00:00,52378,397,140,9222,245,8411,12,-6,-2,19.924858845171276
