data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,delta_positivi
2020-10-01 17:00:00,3568,29,21,1734,8,582,0,0,0,5.385164807134504
2020-10-02 17:00:00,3589,21,5,1749,16,587,0,0,0,4.58257569495584
2020-10-03 17:00:00,3613,24,17,1368,7,604,0,0,0,4.898979485566356
2020-10-04 17:00:00,3645,32,12,1106,20,616,0,0,0,5.656854249492381
2020-10-05 17:00:00,3662,17,11,829,6,627,0,-7,0,4.123105625617661
2020-10-06 17:00:00,3679,17,3,1002,14,630,0,0,0,4.123105625617661
2020-10-07 17:00:00,3734,55,37,1642,18,667,0,0,1,7.416198487095663
2020-10-08 17:00:00,3803,69,59,1897,10,726,0,9,0,8.306623862918075
2020-10-09 17:00:00,3888,85,71,1530,14,797,0,5,1,9.219544457292887
2020-10-10 17:00:00,3980,92,76,1880,16,873,0,0,0,9.591663046625438
2020-10-11 17:00:00,4064,84,67,1599,16,940,1,0,-1,9.16515138991168
2020-10-12 17:00:00,4109,45,33,1047,12,973,0,7,1,6.708203932499369
2020-10-13 17:00:00,4143,34,21,683,13,994,0,12,1,5.830951894845301
2020-10-14 17:00:00,4267,124,124,1573,0,1118,0,0,0,11.135528725660043
2020-10-15 17:00:00,4365,98,75,1743,23,1193,0,6,0,9.899494936611665
2020-10-16 17:00:00,4493,128,110,2152,18,1303,0,6,3,11.313708498984761
2020-10-17 17:00:00,4648,155,141,1714,14,1444,0,0,0,12.449899597988733
2020-10-18 17:00:00,4819,171,163,1979,8,1607,0,1,1,13.076696830622021
2020-10-19 17:00:00,4904,85,83,1279,1,1690,1,0,0,9.219544457292887
2020-10-20 17:00:00,5113,209,204,1819,4,1894,1,29,0,14.45683229480096
2020-10-21 17:00:00,5302,189,186,1884,2,2080,1,0,0,13.74772708486752
2020-10-22 17:00:00,5549,247,238,2294,9,2318,0,10,1,15.716233645501712
2020-10-23 17:00:00,5818,269,264,2824,5,2582,0,0,0,16.401219466856727
2020-10-24 17:00:00,6095,277,274,2209,3,2856,0,27,4,16.64331697709324
2020-10-25 17:00:00,6434,339,331,2753,8,3187,0,14,-1,18.411952639521967
2020-10-26 17:00:00,6755,321,314,2510,4,3501,3,5,1,17.916472867168917
2020-10-27 17:00:00,6997,242,237,1772,4,3738,1,17,0,15.556349186104045
