data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,delta_positivi
2020-10-01 17:00:00,6040,48,27,1883,21,594,0,1,0,6.928203230275509
2020-10-02 17:00:00,6079,39,-7,1731,46,587,0,1,0,6.244997998398398
2020-10-03 17:00:00,6141,62,31,2136,31,618,0,0,0,7.874007874011811
2020-10-04 17:00:00,6175,34,11,1524,23,629,0,1,0,5.830951894845301
2020-10-05 17:00:00,6224,49,21,1204,28,650,0,0,0,7.0
2020-10-06 17:00:00,6264,40,13,1047,27,663,0,5,0,6.324555320336759
2020-10-07 17:00:00,6296,32,-14,2001,46,649,0,-4,0,5.656854249492381
2020-10-08 17:00:00,6355,59,41,2508,18,690,0,0,0,7.681145747868608
2020-10-09 17:00:00,6394,39,-9,2001,48,681,0,2,0,6.244997998398398
2020-10-10 17:00:00,6444,50,6,2331,42,687,2,-1,0,7.0710678118654755
2020-10-11 17:00:00,6483,39,-6,1847,45,681,0,0,0,6.244997998398398
2020-10-12 17:00:00,6485,2,-1,125,2,680,1,0,0,1.4142135623730951
2020-10-13 17:00:00,6513,28,5,801,21,685,2,1,0,5.291502622129181
2020-10-14 17:00:00,6542,29,-27,2567,54,658,2,0,0,5.385164807134504
2020-10-15 17:00:00,6604,62,10,1655,50,668,2,0,0,7.874007874011811
2020-10-16 17:00:00,6715,111,57,2376,53,725,1,0,0,10.535653752852738
2020-10-17 17:00:00,6797,82,46,2593,35,771,1,7,0,9.055385138137417
2020-10-18 17:00:00,6845,48,30,830,18,801,0,11,0,6.928203230275509
2020-10-19 17:00:00,6924,79,62,1518,16,863,1,6,0,8.888194417315589
2020-10-20 17:00:00,7018,94,-99,854,193,764,0,1,1,9.695359714832659
2020-10-21 17:00:00,7166,148,84,2760,62,848,2,3,1,12.165525060596439
2020-10-22 17:00:00,7319,153,121,1234,29,969,3,9,-1,12.36931687685298
2020-10-23 17:00:00,7526,207,160,3497,47,1129,0,8,2,14.38749456993816
2020-10-24 17:00:00,7688,162,127,2093,34,1256,1,-6,1,12.727922061357855
2020-10-25 17:00:00,7792,104,76,1827,27,1332,1,13,0,10.198039027185569
2020-10-26 17:00:00,7905,113,108,987,4,1440,1,9,1,10.63014581273465
2020-10-27 17:00:00,8162,257,208,1345,48,1648,1,3,0,16.0312195418814
2020-10-28 17:00:00,8353,191,119,2788,67,1767,5,10,1,13.820274961085254
2020-10-29 17:00:00,8526,173,-146,3103,316,1621,3,15,3,13.152946437965905
2020-10-30 17:00:00,8748,222,68,2856,152,1689,2,9,0,14.89966442575134
2020-10-31 17:00:00,9138,390,236,3056,153,1925,1,3,0,19.748417658131498
2020-11-01 17:00:00,9348,210,175,2610,32,2100,3,31,0,14.491376746189438
2020-11-02 17:00:00,9535,187,69,937,115,2169,3,26,2,13.674794331177344
2020-11-03 17:00:00,9647,112,93,1567,16,2262,3,22,1,10.583005244258363
2020-11-04 17:00:00,9872,225,56,3682,165,2318,4,11,-1,15.0
2020-11-05 17:00:00,10192,320,18,3251,299,2336,3,13,4,17.88854381999832
2020-11-06 17:00:00,10453,261,97,3463,159,2433,5,2,2,16.15549442140351
2020-11-07 17:00:00,10704,251,185,2623,61,2618,5,17,1,15.84297951775486
2020-11-08 17:00:00,10886,182,135,1659,46,2753,1,12,2,13.490737563232042
2020-11-09 17:00:00,11143,257,221,1009,30,2974,6,20,4,16.0312195418814
2020-11-10 17:00:00,11386,243,-165,2383,402,2809,6,15,4,15.588457268119896
2020-11-11 17:00:00,11639,253,-22,4327,267,2787,8,17,3,15.905973720586866
2020-11-12 17:00:00,11892,253,46,2342,199,2833,8,31,-1,15.905973720586866
2020-11-13 17:00:00,12094,202,87,4650,103,2920,12,15,0,14.212670403551895
2020-11-14 17:00:00,12300,206,-86,4012,281,2834,11,2,1,14.352700094407323
2020-11-15 17:00:00,12568,268,128,2482,132,2962,8,15,2,16.3707055437449
