data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,delta_positivi
2020-10-01 17:00:00,7274,156,70,6637,85,2936,1,6,1,12.489995996796797
2020-10-02 17:00:00,7414,140,112,5552,26,3048,2,-4,1,11.832159566199232
2020-10-03 17:00:00,7596,182,123,6638,56,3171,3,19,-1,13.490737563232042
2020-10-04 17:00:00,7681,85,76,3498,7,3247,2,7,4,9.219544457292887
2020-10-05 17:00:00,7809,128,111,2656,15,3358,2,32,4,11.313708498984761
2020-10-06 17:00:00,8007,198,90,6754,107,3448,1,7,0,14.071247279470288
2020-10-07 17:00:00,8220,213,101,6579,108,3549,4,7,2,14.594519519326424
2020-10-08 17:00:00,8479,259,147,7374,109,3696,3,1,3,16.09347693943108
2020-10-09 17:00:00,8712,233,205,7151,24,3901,4,0,2,15.264337522473747
2020-10-10 17:00:00,8997,285,242,7741,41,4143,2,11,0,16.881943016134134
2020-10-11 17:00:00,9294,297,258,4509,38,4401,1,1,3,17.233687939614086
2020-10-12 17:00:00,9592,298,281,3892,14,4682,3,16,4,17.26267650163207
2020-10-13 17:00:00,9926,334,195,8340,137,4877,2,22,2,18.275666882497067
2020-10-14 17:00:00,10292,366,310,7021,54,5187,2,21,5,19.131126469708992
2020-10-15 17:00:00,10691,399,300,7444,92,5487,7,21,3,19.974984355438178
2020-10-16 17:00:00,11269,578,447,7709,121,5934,10,3,6,24.041630560342615
2020-10-17 17:00:00,11744,475,347,5739,126,6281,2,8,3,21.79449471770337
2020-10-18 17:00:00,12292,548,509,6390,36,6790,3,14,9,23.40939982143925
2020-10-19 17:00:00,12654,362,229,3252,130,7019,3,28,2,19.026297590440446
2020-10-20 17:00:00,13228,574,478,8131,86,7497,10,21,5,23.958297101421877
2020-10-21 17:00:00,13790,562,353,7412,198,7850,11,23,6,23.706539182259394
2020-10-22 17:00:00,14586,796,690,7732,98,8540,8,23,6,28.21347195933177
2020-10-23 17:00:00,15316,730,596,8015,123,9136,11,5,0,27.018512172212592
2020-10-24 17:00:00,16202,886,753,7147,124,9889,9,13,1,29.765752132274432
2020-10-25 17:00:00,16897,695,666,5193,18,10555,11,36,5,26.362852652928137
2020-10-26 17:00:00,17465,568,390,4976,167,10945,11,35,3,23.83275057562597
2020-10-27 17:00:00,18325,860,789,7324,61,11734,10,50,5,29.32575659723036
2020-10-28 17:00:00,19033,708,454,7499,244,12188,10,60,8,26.60826939130014
2020-10-29 17:00:00,19822,789,557,7226,219,12745,13,52,4,28.089143810376278
2020-10-30 17:00:00,20806,984,819,7293,153,13564,12,56,2,31.368774282716245
2020-10-31 17:00:00,21758,952,878,8106,56,14442,18,67,5,30.854497241083024
