data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,delta_positivi
2020-10-01 17:00:00,1315,1,-6,254,7,69,0,1,0,1.0
2020-10-02 17:00:00,1326,11,8,154,3,77,0,1,0,3.3166247903554
2020-10-03 17:00:00,1326,0,-2,133,2,75,0,-1,0,0.0
2020-10-04 17:00:00,1333,7,6,175,1,81,0,-1,0,2.6457513110645907
2020-10-05 17:00:00,1346,13,12,138,1,93,0,0,1,3.605551275463989
2020-10-06 17:00:00,1351,5,0,151,5,93,0,-1,0,2.23606797749979
2020-10-07 17:00:00,1366,15,14,264,1,107,0,-1,0,3.872983346207417
2020-10-08 17:00:00,1384,18,15,249,3,122,0,0,0,4.242640687119285
2020-10-09 17:00:00,1402,18,17,160,1,139,0,0,1,4.242640687119285
2020-10-10 17:00:00,1446,44,41,229,3,180,0,2,1,6.6332495807108
2020-10-11 17:00:00,1464,18,17,240,1,197,0,2,0,4.242640687119285
2020-10-12 17:00:00,1496,32,28,219,4,225,0,1,0,5.656854249492381
2020-10-13 17:00:00,1529,33,33,271,0,258,0,2,0,5.744562646538029
2020-10-14 17:00:00,1566,37,37,258,0,295,0,2,0,6.082762530298219
2020-10-15 17:00:00,1633,67,65,420,2,360,0,1,0,8.18535277187245
2020-10-16 17:00:00,1660,27,22,177,5,382,0,-1,1,5.196152422706632
2020-10-17 17:00:00,1738,78,76,421,2,458,0,4,-2,8.831760866327848
2020-10-18 17:00:00,1811,73,70,360,3,528,0,3,0,8.54400374531753
2020-10-19 17:00:00,1946,135,130,453,5,658,0,6,2,11.61895003862225
2020-10-20 17:00:00,2021,75,67,583,8,725,0,10,1,8.660254037844387
2020-10-21 17:00:00,2132,111,106,1555,5,831,0,6,0,10.535653752852738
2020-10-22 17:00:00,2219,87,74,681,10,905,3,6,-2,9.327379053088816
2020-10-23 17:00:00,2316,97,96,440,1,1001,0,2,0,9.848857801796104
2020-10-24 17:00:00,2428,112,92,414,17,1093,3,8,-1,10.583005244258363
2020-10-25 17:00:00,2525,97,88,301,8,1181,1,5,0,9.848857801796104
2020-10-26 17:00:00,2669,144,135,505,8,1316,1,12,0,12.0
2020-10-27 17:00:00,2726,57,51,497,4,1367,2,24,5,7.54983443527075
2020-10-28 17:00:00,2803,77,63,486,13,1430,1,8,0,8.774964387392123
2020-10-29 17:00:00,2981,178,154,781,19,1584,5,13,0,13.341664064126334
2020-10-30 17:00:00,3136,155,133,685,18,1717,4,7,0,12.449899597988733
2020-10-31 17:00:00,3240,104,96,404,6,1813,2,19,0,10.198039027185569
2020-11-01 17:00:00,3375,135,107,481,22,1920,6,15,5,11.61895003862225
2020-11-02 17:00:00,3497,122,92,486,25,2012,5,6,0,11.045361017187261
2020-11-03 17:00:00,3591,94,38,410,55,2050,1,3,1,9.695359714832659
2020-11-04 17:00:00,3720,129,74,554,54,2124,1,-18,-2,11.357816691600547
2020-11-05 17:00:00,3834,114,28,525,78,2152,8,8,1,10.677078252031311
2020-11-06 17:00:00,3963,129,16,719,107,2168,6,-6,1,11.357816691600547
2020-11-07 17:00:00,4080,117,13,486,97,2181,7,0,1,10.816653826391969
2020-11-08 17:00:00,4135,55,-9,478,61,2172,3,4,0,7.416198487095663
2020-11-09 17:00:00,4336,201,94,670,105,2266,2,1,1,14.177446878757825
2020-11-10 17:00:00,4463,127,33,637,83,2299,11,2,0,11.269427669584644
2020-11-11 17:00:00,4588,125,33,743,85,2332,7,-1,2,11.180339887498949
2020-11-12 17:00:00,4755,167,6,650,155,2338,6,-1,-1,12.922847983320086
2020-11-13 17:00:00,4858,103,25,830,75,2363,3,-10,-1,10.14889156509222
2020-11-14 17:00:00,5103,245,-64,797,303,2299,6,-3,-2,15.652475842498529
2020-11-15 17:00:00,5246,143,-4,580,139,2295,8,2,-1,11.958260743101398
2020-11-16 17:00:00,5345,99,-29,589,123,2266,5,3,4,9.9498743710662
2020-11-17 17:00:00,5499,154,-103,591,253,2163,4,1,1,12.409673645990857
2020-11-18 17:00:00,5586,87,-70,526,155,2093,2,-6,0,9.327379053088816
2020-11-19 17:00:00,5677,91,-58,700,137,2035,12,-2,-5,9.539392014169456
2020-11-20 17:00:00,5832,155,45,711,103,2080,7,4,-2,12.449899597988733
2020-11-21 17:00:00,5923,91,-79,613,167,2001,3,1,1,9.539392014169456
2020-11-22 17:00:00,6022,99,-82,881,177,1919,4,-5,3,9.9498743710662
2020-11-23 17:00:00,6099,77,-70,666,142,1849,5,2,-1,8.774964387392123
2020-11-24 17:00:00,6172,73,-82,752,153,1767,2,-3,1,8.54400374531753
2020-11-25 17:00:00,6199,27,-84,544,106,1683,5,-6,2,5.196152422706632
2020-11-26 17:00:00,6243,44,-70,821,109,1613,5,-9,1,6.6332495807108
2020-11-27 17:00:00,6344,101,-66,715,167,1547,0,1,-2,10.04987562112089
2020-11-28 17:00:00,6416,72,-82,749,146,1465,8,1,-1,8.48528137423857
2020-11-29 17:00:00,6463,47,-15,772,61,1450,1,8,-1,6.855654600401044
2020-11-30 17:00:00,6510,47,-133,575,176,1317,4,-14,-2,6.855654600401044
2020-12-01 17:00:00,6535,25,-52,478,75,1265,2,-1,2,5.0
