data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,diagnostico,screening,delta_positivi
2020-10-01 17:00:00,27896,445,233,18274,207,3965,5,7,3,113,332,21.095023109728988
2020-10-02 17:00:00,28087,191,62,18637,123,4027,6,-13,-2,90,101,13.820274961085254
2020-10-03 17:00:00,28363,276,85,19891,187,4112,4,7,-1,82,194,16.61324772583615
2020-10-04 17:00:00,28624,261,123,12817,137,4235,1,4,-1,20,241,16.15549442140351
2020-10-05 17:00:00,28854,230,166,6986,64,4401,0,4,0,54,176,15.165750888103101
2020-10-06 17:00:00,29043,189,125,10093,60,4526,4,26,-5,67,122,13.74772708486752
2020-10-07 17:00:00,29418,375,228,15164,145,4754,2,6,1,77,298,19.364916731037084
2020-10-08 17:00:00,29909,491,329,16958,156,5083,6,-1,3,137,354,22.15851980616034
2020-10-09 17:00:00,30504,595,391,14325,201,5474,3,-5,2,99,496,24.392621835300936
2020-10-10 17:00:00,31065,561,358,14996,196,5832,7,23,-1,200,361,23.68543856465402
2020-10-11 17:00:00,31503,438,256,11140,180,6088,2,7,4,60,378,20.92844953645635
2020-10-12 17:00:00,31831,328,201,6348,126,6289,1,6,5,54,274,18.110770276274835
2020-10-13 17:00:00,32316,485,366,4052,112,6655,7,28,4,84,401,22.02271554554524
2020-10-14 17:00:00,32973,657,527,21095,130,7182,0,-1,2,102,555,25.632011235952593
2020-10-15 17:00:00,33573,600,426,19024,163,7608,11,8,5,110,490,24.49489742783178
2020-10-16 17:00:00,34277,704,530,7368,167,8138,7,20,0,114,590,26.5329983228432
2020-10-17 17:00:00,35051,774,602,14156,169,8740,3,29,3,98,676,27.820855486487112
2020-10-18 17:00:00,35851,800,685,10285,106,9425,9,50,1,91,709,28.284271247461902
2020-10-19 17:00:00,36353,502,420,4426,83,9845,-1,18,0,53,449,22.40535650240808
2020-10-20 17:00:00,36843,490,411,8126,66,10256,13,63,7,85,405,22.135943621178654
2020-10-21 17:00:00,38265,1422,1177,19627,231,11433,14,-20,5,351,1071,37.70941526992961
2020-10-22 17:00:00,39590,1325,1175,14440,131,12608,19,61,3,177,1148,36.40054944640259
2020-10-23 17:00:00,41140,1550,1426,16277,117,14034,7,15,5,219,1331,39.370039370059054
2020-10-24 17:00:00,42869,1729,1587,17461,133,15621,9,33,4,147,1582,41.58124577258358
2020-10-25 17:00:00,44337,1468,1351,12061,105,16972,12,37,3,124,1344,38.31448812133603
2020-10-26 17:00:00,45466,1129,1075,7745,51,18047,3,27,5,61,1068,33.60059523282288
2020-10-27 17:00:00,46992,1526,1470,13688,44,19517,12,52,7,154,1372,39.06404996924922
2020-10-28 17:00:00,49135,2143,2083,16083,49,21600,11,44,7,157,1986,46.292547996410825
2020-10-29 17:00:00,51244,2109,2026,12729,67,23626,16,51,7,145,1964,45.92385001282014
2020-10-30 17:00:00,54256,3012,2921,21799,74,26547,17,18,20,196,2816,54.881690936048976
2020-10-31 17:00:00,56953,2697,2632,18117,52,29179,13,24,6,146,2551,51.93264869039514
2020-11-01 17:00:00,59253,2300,2235,14172,48,31414,17,31,9,144,2156,47.958315233127195
2020-11-02 17:00:00,60797,1544,1519,7831,16,32933,9,41,4,95,1449,39.293765408777
2020-11-03 17:00:00,63095,2298,2233,11522,34,35166,31,138,6,112,2186,47.93745925682754
2020-11-04 17:00:00,65531,2436,2370,19131,46,37536,20,65,7,166,2270,49.35585071701227
2020-11-05 17:00:00,68795,3264,3183,16485,43,40719,38,86,15,158,3106,57.1314274283428
2020-11-06 17:00:00,72092,3297,3218,20005,52,43937,27,22,5,26,3271,57.41950887982237
2020-11-07 17:00:00,75907,3815,3720,19420,70,47657,25,116,7,406,3409,61.765686266729034
2020-11-08 17:00:00,79269,3362,3313,11423,43,50970,6,55,9,111,3251,57.982756057296896
2020-11-09 17:00:00,81492,2223,2192,14026,10,53162,21,109,10,121,2102,47.148700936505136
2020-11-10 17:00:00,84255,2763,-2912,16778,5627,50250,48,132,9,108,2655,52.5642464038057
2020-11-11 17:00:00,87337,3082,1985,14843,1051,52235,46,73,4,215,2867,55.51576352712804
2020-11-12 17:00:00,90901,3564,2520,17211,1006,54755,38,94,5,170,3394,59.6992462263972
2020-11-13 17:00:00,94506,3605,2533,17644,1035,57288,37,68,6,182,3423,60.0416522091123
2020-11-14 17:00:00,98084,3578,2417,18404,1109,59705,52,38,9,288,3290,59.81638571495272
2020-11-15 17:00:00,100876,2792,1801,15122,962,61506,29,65,13,276,2516,52.839379254491625
2020-11-16 17:00:00,102842,1966,1192,9357,752,62698,22,51,11,197,1769,44.339598554790726
2020-11-17 17:00:00,105966,3124,373,18539,2651,63071,100,-5,14,297,2827,55.89275444992848
2020-11-18 17:00:00,108938,2972,1235,16921,1685,64306,52,99,8,399,2573,54.516052681756044
2020-11-19 17:00:00,112691,3753,2276,17420,1439,66582,38,42,5,544,3209,61.26173356998641
2020-11-20 17:00:00,116159,3468,2105,15966,1297,68687,66,49,-12,545,2923,58.88972745734183
2020-11-21 17:00:00,119726,3567,2060,18111,1440,70747,67,30,8,420,3147,59.724366886556446
2020-11-22 17:00:00,122682,2956,1709,13395,1216,72456,31,11,6,393,2563,54.36910887627275
2020-11-23 17:00:00,125222,2540,1271,11148,1232,73727,37,69,9,324,2216,50.39841267341661
2020-11-24 17:00:00,127416,2194,-373,15205,2472,73354,95,56,10,614,1580,46.84015371452148
2020-11-25 17:00:00,130076,2660,1784,16297,800,75138,76,86,5,437,2223,51.57518783291051
2020-11-26 17:00:00,134056,3980,14,19146,3894,75152,72,25,-1,3321,659,63.08724118235002
2020-11-27 17:00:00,137474,3418,1736,16870,1622,76888,60,-7,-1,623,2795,58.463663928973865
2020-11-28 17:00:00,140972,3498,1684,18307,1731,78572,83,214,6,603,2895,59.14389233048498
2020-11-29 17:00:00,143589,2617,1139,13241,1445,79711,33,-212,2,347,2270,51.15662224971465
2020-11-30 17:00:00,145592,2003,954,8985,1015,80665,34,18,9,341,1662,44.75488800120049
